GROUP,Image1,Image2,Image3,Image4,CorrectAnswer,Target,G_Target,Condition,Target AOI,Competitor AOI,NovelDistractor,ExistingDistrator,TargetOnset
3,bacon.bmp,ND_104.bmp,baker.bmp,EDsandcastle.bmp,1,bacon.wav,3_bacon.wav,DisplayedCohort,1,3,2,4,431
4,bacon.bmp,ND_104.bmp,pencil.bmp,EDsandcastle.bmp,1,bacon.wav,4_bacon.wav,AbsentCohort,1,3,2,4,431
7,bacon.bmp,ND_104.bmp,baker.bmp,EDsandcastle.bmp,1,bacon.wav,7_bacon.wav,DisplayedCohort,1,3,2,4,431
8,bacon.bmp,ND_104.bmp,pencil.bmp,EDsandcastle.bmp,1,bacon.wav,8_bacon.wav,AbsentCohort,1,3,2,4,431
1,baker.bmp,ND_104.bmp,bacon.bmp,EDsandcastle.bmp,1,baker.wav,1_baker.wav,DisplayedCohort,1,3,2,4,435
2,baker.bmp,ND_104.bmp,penny.bmp,EDsandcastle.bmp,1,baker.wav,2_baker.wav,AbsentCohort,1,3,2,4,435
5,baker.bmp,ND_104.bmp,bacon.bmp,EDsandcastle.bmp,1,baker.wav,5_baker.wav,DisplayedCohort,1,3,2,4,435
6,baker.bmp,ND_104.bmp,penny.bmp,EDsandcastle.bmp,1,baker.wav,6_baker.wav,AbsentCohort,1,3,2,4,435
1,beaker.bmp,beetle.bmp,ND_100.bmp,EDcaptain.bmp,1,beaker.wav,1_beaker.wav,DisplayedCohort,1,2,3,4,338
2,beaker.bmp,window.bmp,ND_100.bmp,EDcaptain.bmp,1,beaker.wav,2_beaker.wav,AbsentCohort,1,2,3,4,338
5,beaker.bmp,beetle.bmp,ND_100.bmp,EDcaptain.bmp,1,beaker.wav,5_beaker.wav,DisplayedCohort,1,2,3,4,338
6,beaker.bmp,window.bmp,ND_100.bmp,EDcaptain.bmp,1,beaker.wav,6_beaker.wav,AbsentCohort,1,2,3,4,338
3,beetle.bmp,beaker.bmp,ND_100.bmp,EDcaptain.bmp,1,beetle.wav,3_beetle.wav,DisplayedCohort,1,2,3,4,435
4,beetle.bmp,winner.bmp,ND_100.bmp,EDcaptain.bmp,1,beetle.wav,4_beetle.wav,AbsentCohort,1,2,3,4,435
7,beetle.bmp,beaker.bmp,ND_100.bmp,EDcaptain.bmp,1,beetle.wav,7_beetle.wav,DisplayedCohort,1,2,3,4,435
8,beetle.bmp,winner.bmp,ND_100.bmp,EDcan.bmp,1,beetle.wav,8_beetle.wav,AbsentCohort,1,2,3,4,435
1,package.bmp,EDstrawberry.bmp,ND_113.bmp,butter.bmp,4,butter.wav,1_butter.wav,AbsentCohort,4,1,3,2,399
2,button.bmp,EDstrawberry.bmp,ND_113.bmp,butter.bmp,4,butter.wav,2_butter.wav,DisplayedCohort,4,1,3,2,399
5,package.bmp,EDstrawberry.bmp,ND_113.bmp,butter.bmp,4,butter.wav,5_butter.wav,AbsentCohort,4,1,3,2,399
6,button.bmp,EDstrawberry.bmp,ND_113.bmp,butter.bmp,4,butter.wav,6_butter.wav,DisplayedCohort,4,1,3,2,399
3,packet.bmp,EDstrawberry.bmp,ND_113.bmp,button.bmp,4,button.wav,3_button.wav,AbsentCohort,4,1,3,2,383
4,butter.bmp,EDstrawberry.bmp,ND_113.bmp,button.bmp,4,button.wav,4_button.wav,DisplayedCohort,4,1,3,2,383
7,packet.bmp,EDstrawberry.bmp,ND_113.bmp,button.bmp,4,button.wav,7_button.wav,AbsentCohort,4,1,3,2,383
8,butter.bmp,EDstrawberry.bmp,ND_113.bmp,button.bmp,4,button.wav,8_button.wav,DisplayedCohort,4,1,3,2,383
3,camel.bmp,ND_108.bmp,EDperfume.bmp,camper.bmp,1,camel.wav,3_camel.wav,DisplayedCohort,1,4,2,3,337
4,camel.bmp,ND_108.bmp,EDperfume.bmp,beaker.bmp,1,camel.wav,4_camel.wav,AbsentCohort,1,4,2,3,337
7,camel.bmp,ND_108.bmp,EDperfume.bmp,camper.bmp,1,camel.wav,7_camel.wav,DisplayedCohort,1,4,2,3,337
8,camel.bmp,ND_108.bmp,EDperfume.bmp,beaker.bmp,1,camel.wav,8_camel.wav,AbsentCohort,1,4,2,3,337
1,camper.bmp,ND_108.bmp,EDperfume.bmp,camel.bmp,1,camper.wav,1_camper.wav,DisplayedCohort,1,4,2,3,462
2,camper.bmp,ND_108.bmp,EDperfume.bmp,beetle.bmp,1,camper.wav,2_camper.wav,AbsentCohort,1,4,2,3,462
5,camper.bmp,ND_108.bmp,EDperfume.bmp,camel.bmp,1,camper.wav,5_camper.wav,DisplayedCohort,1,4,2,3,462
6,camper.bmp,ND_108.bmp,EDperfume.bmp,beetle.bmp,1,camper.wav,6_camper.wav,AbsentCohort,1,4,2,3,462
1,candy.bmp,ND_101.bmp,EDstamper.bmp,candle.bmp,4,candle.wav,1_candle.wav,DisplayedCohort,4,1,2,3,471
2,lorry.bmp,ND_101.bmp,EDstamper.bmp,candle.bmp,4,candle.wav,2_candle.wav,AbsentCohort,4,1,2,3,471
5,candy.bmp,ND_101.bmp,EDstamper.bmp,candle.bmp,4,candle.wav,5_candle.wav,DisplayedCohort,4,1,2,3,471
6,lorry.bmp,ND_101.bmp,EDstamper.bmp,candle.bmp,4,candle.wav,6_candle.wav,AbsentCohort,4,1,2,3,471
3,candle.bmp,ND_101.bmp,EDstamper.bmp,candy.bmp,4,candy.wav,3_candy.wav,DisplayedCohort,4,1,2,3,495
4,money.bmp,ND_101.bmp,EDstamper.bmp,candy.bmp,4,candy.wav,4_candy.wav,AbsentCohort,4,1,2,3,495
7,candle.bmp,ND_101.bmp,EDstamper.bmp,candy.bmp,4,candy.wav,7_candy.wav,DisplayedCohort,4,1,2,3,495
8,money.bmp,ND_101.bmp,EDstamper.bmp,candy.bmp,4,candy.wav,8_candy.wav,AbsentCohort,4,1,2,3,495
3,carton.bmp,letter.bmp,EDpill.bmp,ND_112.bmp,1,carton.wav,3_carton.wav,AbsentCohort,1,2,4,3,422
4,carton.bmp,cartoon.bmp,EDpill.bmp,ND_112.bmp,1,carton.wav,4_carton.wav,DisplayedCohort,1,2,4,3,422
7,carton.bmp,letter.bmp,EDpill.bmp,ND_112.bmp,1,carton.wav,7_carton.wav,AbsentCohort,1,2,4,3,422
8,carton.bmp,cartoon.bmp,EDpill.bmp,ND_112.bmp,1,carton.wav,8_carton.wav,DisplayedCohort,1,2,4,3,422
1,cartoon.bmp,lettuce.bmp,EDpill.bmp,ND_112.bmp,1,cartoon.wav,1_cartoon.wav,AbsentCohort,1,2,4,3,389
2,cartoon.bmp,carton.bmp,EDpill.bmp,ND_112.bmp,1,cartoon.wav,2_cartoon.wav,DisplayedCohort,1,2,4,3,389
5,cartoon.bmp,lettuce.bmp,EDpill.bmp,ND_112.bmp,1,cartoon.wav,5_cartoon.wav,AbsentCohort,1,2,4,3,389
6,cartoon.bmp,carton.bmp,EDpill.bmp,ND_112.bmp,1,cartoon.wav,6_cartoon.wav,DisplayedCohort,1,2,4,3,389
3,EDtomato.bmp,pasta.bmp,ND_117.bmp,catalogue.bmp,4,catalogue.wav,3_catalogue.wav,AbsentCohort,4,2,3,1,448
4,EDtomato.bmp,caterpillar.bmp,ND_117.bmp,catalogue.bmp,4,catalogue.wav,4_catalogue.wav,DisplayedCohort,4,2,3,1,448
7,EDtomato.bmp,pasta.bmp,ND_117.bmp,catalogue.bmp,4,catalogue.wav,7_catalogue.wav,AbsentCohort,4,2,3,1,448
8,EDtomato.bmp,caterpillar.bmp,ND_117.bmp,catalogue.bmp,4,catalogue.wav,8_catalogue.wav,DisplayedCohort,4,2,3,1,448
1,EDtomato.bmp,pasty.bmp,ND_117.bmp,caterpillar.bmp,4,caterpillar.wav,1_caterpillar.wav,AbsentCohort,4,2,3,1,393
2,EDtomato.bmp,catalogue.bmp,ND_117.bmp,caterpillar.bmp,4,caterpillar.wav,2_caterpillar.wav,DisplayedCohort,4,2,3,1,393
5,EDtomato.bmp,pasty.bmp,ND_117.bmp,caterpillar.bmp,4,caterpillar.wav,5_caterpillar.wav,AbsentCohort,4,2,3,1,393
6,EDtomato.bmp,catalogue.bmp,ND_117.bmp,caterpillar.bmp,4,caterpillar.wav,6_caterpillar.wav,DisplayedCohort,4,2,3,1,393
1,kitchen.bmp,ND_118.bmp,circle.bmp,EDslippers.bmp,3,circle.wav,1_circle.wav,AbsentCohort,3,1,2,4,429
2,circus.bmp,ND_118.bmp,circle.bmp,EDslippers.bmp,3,circle.wav,2_circle.wav,DisplayedCohort,3,1,2,4,429
5,kitchen.bmp,ND_118.bmp,circle.bmp,EDslippers.bmp,3,circle.wav,5_circle.wav,AbsentCohort,3,1,2,4,429
6,circus.bmp,ND_118.bmp,circle.bmp,EDslippers.bmp,3,circle.wav,6_circle.wav,DisplayedCohort,3,1,2,4,429
